user_id,first_alert_date,last_obs_date,n_alert_transitions,max_consecutive_no_response_windows,lead_time_days,final_label,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
HIKAWA-PF38LTK0_hikawa,2023-09-14,2026-02-24,5,0,894,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
HIKAWAXPF3Z84A1_hikawa,2023-05-12,2026-05-22,2,9,1106,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
HIROSE-PF4AKXKG_hirose,2023-08-23,2024-01-31,6,0,161,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
HNAKA-PF43B9PV_hnaka,2023-05-19,2025-05-22,13,39,734,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
HSUMIXPF3T9QH8_hsumi,2023-10-26,2025-01-31,2,0,463,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
HZHANG16-5GLDJK_hzhang16,2025-09-25,2026-05-27,1,0,244,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
ICA_USER,2025-05-28,2025-06-05,1,0,8,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
IMANARANG1-3A19_imanarang1,2023-05-28,2025-09-01,26,27,827,REVIEW_INSUFFICIENT_DATA,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
IYOSHIMITSU-VKS_iyoshimitsu,2024-06-03,2026-01-23,14,27,599,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JAGUAR3_SVT,2023-05-08,2023-12-05,6,5,211,REVIEW_INSUFFICIENT_DATA,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JANUMOLU-0A203W_janumolu,2024-06-02,2024-11-02,6,8,153,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JBOWEN2-F62KRD0_jbowen2,2026-04-04,2026-05-18,1,0,44,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JBRUNDIDGE-EPQ0_jbrundidge,2026-05-19,2026-05-27,1,0,8,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JESTROFF-4G0AHW_jestroff,2023-10-13,2024-07-23,5,27,284,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JFASANO-F4RXM66_jfasano,2024-07-13,2025-11-25,16,27,500,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JG3-SIT-OS_Maru1tom,2024-02-20,2024-05-14,2,0,84,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JINOUE1-F49SYAH_jinoue1,2023-10-28,2025-12-03,15,24,767,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JJOHNSON16-QW2P_jjohnson16,2024-01-03,2024-05-15,2,0,133,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JMATTHEWS2-YXHQ_jmatthews2,2024-01-28,2024-10-03,3,42,249,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JMESTLER-5FS8KD_jmestler,2025-09-09,2026-05-23,8,0,256,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JNUNEZ5-F4RX1S4_jnunez5,2025-03-19,2025-06-30,2,0,103,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JNUNEZ5-F5HP4BE_jnunez5,2026-03-06,2026-04-22,2,0,47,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JNUNEZ5-W05SG98_jnunez5,2023-12-03,2024-07-18,8,0,228,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JPROULX-F5GQ0BB_jproulx,2025-09-11,2026-05-27,1,0,258,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JQUINTERO-A2BYW_jquintero,2024-05-19,2025-10-08,10,27,507,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JURAKAWA-3319AM_jurakawa,2023-06-16,2026-03-19,6,5,1007,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
KAYLEY_Kayle,2025-09-04,2026-05-26,6,0,264,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
KCHEON-PF5A9YHM_kcheon,2025-08-27,2026-05-25,2,0,271,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
KDARDEN-F4CFJD9_kdarden,2023-08-28,2024-08-01,10,33,339,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
KILLEBREW,2024-11-23,2026-04-27,4,27,520,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
KINOUE4XF49VR0W_kinoue4,2023-06-13,2025-04-09,10,54,666,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
KIWAO-PF4KXHHL_kiwao,2024-01-30,2024-02-01,1,0,2,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
KMAKI-PF45ET63_kmaki,2024-06-03,2024-08-14,3,44,72,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
KMORIGUCHI-SY92_kmoriguchi,2023-08-18,2026-05-27,26,0,1013,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
KSAMBDMA-62KJHP_ksambdma,2026-05-15,2026-05-28,1,0,13,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
KSERDAR-W0A2BP3_kserdar,2024-05-20,2026-05-28,4,2,738,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
KSHIBATAX3Y83N9_KSHIBATA,2023-04-04,2025-10-01,30,89,911,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
KSHIBAYAMA-TB38_kshibayama,2024-03-09,2024-08-21,1,27,165,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
KTAKEDA5-3ZPVTQ_ktakeda5,2023-07-14,2024-03-25,1,0,255,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
KTATE2-PW0A2BTJ_ktate2,2024-05-25,2025-05-06,2,43,346,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
KURADA-4_kurada,2024-10-19,2025-06-23,2,0,247,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-0JJ03K9D_rgibson,2023-09-12,2024-02-12,1,0,153,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-1KS1Q32S_T14s,2023-06-12,2024-09-04,1,0,450,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-2RQJAUEN_nyama,2025-07-23,2025-07-31,1,0,8,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-38PBJKV3_Dan,2023-09-28,2026-05-28,23,27,973,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-49PO0SU0_ssugimoto2,2025-11-13,2026-02-09,1,0,88,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-7CFQ50BM_Carl,2025-03-14,2025-03-14,1,16,0,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-8HCCR0QE_PE,2024-08-04,2024-10-29,1,0,86,REVIEW_INSUFFICIENT_DATA,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-97DA2E9K_johnny,2023-09-03,2023-11-09,1,25,67,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-9D1AU1OG_Mersey,2024-01-23,2024-01-30,1,0,7,REVIEW_INSUFFICIENT_DATA,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-A68FDH6Q_amcclarnon,2025-03-19,2025-05-28,3,0,70,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-CPPVM862_LL,2023-05-13,2024-09-18,9,27,494,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-FEFDP1D9_test,2026-05-06,2026-06-01,1,0,26,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-H0IEOCT5_zuyin,2025-03-22,2025-05-12,2,0,51,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-H1CK928J_rreaves,2024-06-29,2025-05-18,1,3,323,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-K8IULGVA_Sun,2024-02-29,2024-09-24,1,0,208,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-P9BQ8OLJ_Neal,2025-12-25,2026-04-22,2,0,118,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-Q6HOEUNN_tyler,2024-06-02,2024-06-25,1,24,23,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-S8IHCLL8_x1,2025-05-22,2026-05-22,6,0,365,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-SJCL3CJL_scollins1,2023-04-03,2025-05-22,21,28,780,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-STAV4QJC_PQM,2023-12-04,2023-12-28,1,25,24,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-T83863L5_EigerSIT11,2024-02-26,2026-05-31,2,20,825,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-TH5V7J86_CQE_Test,2023-07-18,2023-10-23,3,60,97,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-TSQ0GU66_motty,2023-07-23,2024-02-03,1,29,195,REVIEW_INSUFFICIENT_DATA,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-UQQQG0S3_ThinkPad,2025-07-10,2025-07-30,1,21,20,REVIEW_INSUFFICIENT_DATA,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-V450TO4P_Rob,2024-09-12,2025-12-02,3,0,446,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-V5HIJJIL_Admin,2024-10-25,2026-04-02,11,0,524,REVIEW_INSUFFICIENT_DATA,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-VHFOHP1Q_Neal,2026-02-14,2026-04-24,3,27,69,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-VSQFIELJ_L16HPT,2025-09-05,2026-04-28,2,1,235,REVIEW_INSUFFICIENT_DATA,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LISA_loconnor,2025-10-09,2026-05-28,4,0,231,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LIUFENG7-26Y6JC_liufeng7,2024-01-29,2024-07-10,3,5,163,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LIUFENG_liufeng7,2024-12-29,2025-09-18,4,0,263,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LIUHY24-X1C8_Miss_Ling,2024-06-18,2025-07-23,6,0,400,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LIUHY24-X1EGEN4_liuhy24,2023-06-27,2025-04-28,9,0,671,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LL_LLL,2026-02-06,2026-04-20,3,10,73,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LOEBACHJ-4SMBAL_X13_2-1,2024-06-04,2025-03-21,10,24,290,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LOEBACHJ-4SMBAL_loebachj,2024-06-04,2025-03-14,10,24,283,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LOEBACHJ-58TDMH_loebachj,2025-07-16,2026-05-26,4,0,314,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LSU4-PF5FS8LS_lsu4,2025-10-28,2026-06-01,1,0,216,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LWANG5-PW0A203M_lwang5,2025-08-18,2026-05-29,2,0,284,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LXIAO1-PF3T9L7M_lxiao1,2024-09-24,2025-08-08,3,0,318,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
MAGSHINE_wangyl,2025-07-14,2025-09-23,1,0,71,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
MARKUSTH1_theberlein,2024-09-14,2024-12-11,1,2,88,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
MARUICHIT-CRC21_MARUICHIT,2023-06-09,2026-05-20,32,0,1076,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
MATT-T16G1_lietzke,2023-05-31,2024-03-04,8,32,278,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
MBHAVSAR-3R8CWY_mbhavsar,2023-04-08,2025-01-30,17,171,663,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
MCOCKMAN-09S0ZB_mcockman,2024-06-15,2026-05-29,16,0,713,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
