user_id,first_alert_date,last_obs_date,n_alert_transitions,max_consecutive_no_response_windows,lead_time_days,final_label,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
CHIKARA7-3PAB5T_chikara7,2023-05-30,2024-07-29,15,180,426,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
CMORATAYA-MDFJZ_cmorataya,2025-12-08,2025-12-20,1,43,12,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
COLIN_cdorner,2025-12-12,2026-05-12,5,23,151,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
CPC-TESTER5_Ridge_Jia,2023-10-20,2023-11-28,2,36,39,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
CQUEEN-PW06FV2M_cqueen,2024-12-02,2026-05-13,15,117,527,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
CRAMPELBERG-VRJ_T14,2025-06-22,2025-07-29,2,68,37,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
CRAMPELBERG-VRJ_crampelberg,2025-06-22,2025-07-28,2,67,36,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
CTURNER_cturner,2023-10-06,2024-04-10,1,17,187,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DAVID_dcosby,2025-04-26,2026-05-26,12,238,395,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DBROWN6-F4RV7QY_dbrown6,2024-03-29,2024-05-06,1,69,38,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DESKTOP-0R32PSA_ah,2024-10-20,2025-02-27,3,23,130,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DESKTOP-5TU0QIM_igluzman,2024-12-27,2025-01-13,1,19,17,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DESKTOP-8L6GNCN_Winson_Chiu,2025-07-16,2025-09-15,3,35,61,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DESKTOP-KQ90P7N_jkleissler,2024-07-23,2024-08-27,1,37,35,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DESKTOP-MMH8JIS_chee1,2023-12-23,2024-03-29,3,36,97,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DHARDING-55C9NC_dharding,2025-05-03,2025-06-11,2,38,39,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DILLON_dpaquin,2025-07-05,2025-08-13,2,69,39,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DJR-PF3R8T3C_djr,2023-04-09,2025-04-10,16,61,732,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DKUNTTU-F4JTB5W_dkunttu,2023-11-24,2024-12-12,4,39,384,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DKUNTTU-F5AZ5F3_dkunttu,2025-09-01,2026-03-14,2,17,194,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DLI13-PW0HKDEK_dli13,2025-07-26,2025-11-04,3,64,101,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DONGQZ-PF4RM5MZ_dongqz,2024-04-18,2025-03-21,1,38,337,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DONGQZ-PF505XME_dongqz,2024-12-09,2024-12-19,1,48,10,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DONGQZ-PF5HTSGV_dongqz,2025-07-27,2026-05-27,4,81,304,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DRICKARD-5GLCFY_drickard,2025-08-22,2025-12-17,1,35,117,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DRUBRIGHT-DPJ32_drubright,2025-03-08,2025-05-27,1,73,80,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DWATTS-PF5C6AV8_dwatts,2025-07-05,2026-05-02,6,142,301,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DWATTS-PF627DJB_dwatts,2026-03-31,2026-04-24,1,77,24,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
E14_test,2025-03-10,2026-03-24,3,20,379,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
E28386-PF3X7BXZ_e28386,2023-04-09,2025-10-29,18,58,934,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
EB16034-F2RY6ZG_eb16034,2023-04-03,2025-10-28,30,362,939,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
EB16034-F4414Y8_eb16034,2023-06-09,2023-10-30,5,196,143,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
EB16034-F4QX17S_eb16034,2024-07-28,2024-09-26,3,112,60,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
EDANG-PF5TMMM8_edang,2025-12-13,2026-06-01,3,23,170,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
EIGERAMD_44900,2024-12-07,2026-06-01,6,103,541,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
EMOURA3-W0A2BQE_emoura3,2024-05-25,2024-07-02,2,91,38,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
ETURNER-F54Q6Z0_eturner,2024-12-25,2025-06-11,1,41,168,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
EWALLACE-5AM7XJ_ewallace,2026-04-13,2026-05-29,2,77,46,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FANG_X13,2023-07-24,2025-06-18,22,92,695,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FBOWER-PF59NQY8_fbower,2025-06-07,2026-05-01,2,47,328,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FFEI-PF5PFHPB_ffei,2026-05-09,2026-05-26,1,48,17,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FFENG-PF5FSWGF_ffeng,2025-08-15,2025-09-19,2,59,35,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FORIPF_radac,2024-06-12,2026-03-25,2,43,651,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FRED_Fred_Bower,2026-03-21,2026-05-11,2,31,51,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FSUN3-PC133Y8H_LicenseServer,2024-08-06,2026-05-25,2,0,657,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
GGILLETT-5D9MVD_ggillett,2025-04-06,2026-05-27,10,102,416,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
GHOOGAR-F3KPQQX_ghoogar,2023-09-27,2024-02-27,2,33,153,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
GKONDOXPF3TRKJD_gkondo,2023-04-21,2026-06-01,11,123,1137,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
GREG-WORK-X13Y_gmcneil,2023-12-04,2024-09-06,2,61,277,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
GTORRES3-0ABC7N_gtorres3,2024-06-03,2025-06-13,4,62,375,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
GTORRES3-5AZJEC_gtorres3,2025-03-14,2026-05-27,2,39,439,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
HARDBAR-F4VMMMN_hardbar,2024-03-24,2024-10-29,1,46,219,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
HARSHADA-X1CG12_hghodke,2025-08-23,2026-05-27,3,39,277,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
HBOUHYA-F5GLH13_hbouhya,2025-10-28,2025-11-05,1,39,8,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
HHUDELSON-B0WN2_hhudelson,2024-07-05,2026-06-01,15,88,696,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
HIDEKIK-F3T9NA0_hidekik,2023-04-09,2024-08-06,12,208,485,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
HIKAWA-PF38LTK0_hikawa,2023-08-11,2026-02-24,12,133,928,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
HIKAWAXPF3Z84A1_hikawa,2023-05-12,2026-05-22,24,309,1106,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
HIROSE-PF4AKXKG_hirose,2023-08-23,2024-01-31,6,0,161,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
HNAKA-PF43B9PV_hnaka,2023-05-19,2025-05-22,13,161,734,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
HSUMI-GM132TGM_hsumi,2026-01-18,2026-05-28,3,62,130,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
HSUMIXPF3MN51B_Hiroyuki_Sumi,2025-02-09,2025-08-13,1,14,185,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
HSUMIXPF3T9QH8_hsumi,2023-10-13,2025-01-31,3,29,476,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
HYKW_X1CG11,2024-08-02,2024-11-15,1,65,105,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
HZHANG16-5GLDJK_hzhang16,2025-07-27,2026-05-27,3,56,304,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
ICA_USER,2024-11-03,2025-06-05,4,27,214,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
IMANARANG1-3A19_imanarang1,2023-05-28,2025-09-01,26,287,827,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
IMIHO-PF2SCRY9_imiho,2023-04-14,2024-10-09,18,337,544,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
IYOSHIMITSU-VKS_iyoshimitsu,2024-02-20,2026-01-23,17,110,703,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JACKX1_jkleissler,2025-12-05,2026-05-26,2,76,172,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JAGUAR3_SVT,2023-05-08,2023-12-05,6,51,211,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JANUMOLU-0A203W_janumolu,2024-06-02,2024-11-02,6,152,153,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JBARRETT-4SA7XV_jbarrett,2025-04-18,2025-09-03,1,34,138,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JBOWEN2-F62KRD0_jbowen2,2026-04-04,2026-05-18,1,46,44,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JBRUNDIDGE-EPQ0_jbrundidge,2025-12-26,2026-05-27,4,98,152,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JCAMARADOR-4NYS_jcamarador,2024-06-25,2025-09-19,8,71,451,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JCOYNE_jcoyne,2024-07-20,2024-10-25,1,38,97,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JEREMY_jeremyca,2026-03-23,2026-05-12,2,103,50,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JESSICAWANG2025_wangyun,2025-05-30,2025-10-17,1,35,140,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JESTROFF-4G0AHW_jestroff,2023-10-13,2024-07-23,5,110,284,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JESTROFF-4SA4E9_jestroff,2025-02-17,2025-04-24,1,19,66,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JG3-SIT-OS_Maru1tom,2023-12-22,2024-05-14,4,23,144,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JINOUE1-F49SYAH_jinoue1,2023-10-28,2025-12-03,17,149,767,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JJOHNSON16-QW2P_jjohnson16,2023-08-26,2024-05-15,5,41,263,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JLEWIS9-W0A2BP7_jlewis9,2024-05-20,2024-07-18,2,86,59,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JMATTHEWS2-YXHQ_jmatthews2,2024-01-28,2024-10-03,3,48,249,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JMESTLER-5FS8KD_jmestler,2025-07-11,2026-05-23,10,54,316,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JNUNEZ5-F4KXMXN_jnunez5,2024-03-12,2025-03-23,3,37,376,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JNUNEZ5-F4RX1S4_jnunez5,2024-06-24,2025-06-30,6,24,371,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JNUNEZ5-F5HP4BE_jnunez5,2026-01-20,2026-04-22,4,23,92,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JNUNEZ5-W05SG98_jnunez5,2023-11-07,2024-07-18,9,45,254,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JP2-E3-05_e3,2023-05-26,2025-02-21,10,45,637,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JPROULX-F5GQ0BB_jproulx,2025-07-13,2026-05-27,3,95,318,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JQUINTERO-A2BYW_jquintero,2024-05-19,2025-10-08,12,146,507,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JURAKAWA-3319AM_jurakawa,2023-04-17,2026-03-19,16,169,1067,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JXU9-PF3SLCZ3_jxu9,2024-07-20,2026-04-16,1,7,635,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
JYANGO-PF462GGQ_jyango,2023-06-02,2023-10-24,5,175,144,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
KARAI6-PF4PTTHT_karai6,2024-03-15,2024-09-06,4,65,175,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
KATIE_kjackson,2025-05-19,2025-07-17,2,49,59,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
KAYLEY_Kayle,2025-07-22,2026-05-26,7,31,308,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
KCHEON-PF5A9YHM_kcheon,2025-04-26,2026-05-25,6,154,394,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
KDARDEN-F4CFJD9_kdarden,2023-08-05,2024-08-01,11,346,362,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
