user_id,final_label,cluster_id,cluster_description,analysis_timestamp
JESTROFF-4G0AHW_jestroff,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,1,MIXED,2026-06-03T16:38:27
JFISHEL-F56FAH2_jfishel,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
JG3-SIT-OS_Maru1tom,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,0,AC_BOUND+SHALLOW_RANGE+LOW_CYCLING,2026-06-03T16:38:27
JL24078-F3YZT26_jl24078,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
JP2-E3-05_e3,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
JURAKAWA-3319AM_jurakawa,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
JYANGO-PF462GGQ_jyango,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
KDARDEN-F4CFJD9_kdarden,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
KHORINOUCHI-42K_khorinouchi,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
KMAKI-PF45ET63_kmaki,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,1,MIXED,2026-06-03T16:38:27
KMORIGUCHI-SY92_kmoriguchi,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,0,AC_BOUND+SHALLOW_RANGE+LOW_CYCLING,2026-06-03T16:38:27
KSHIBATAX3Y83N9_KSHIBATA,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2,AC_BOUND+HIGH_OPP_NO_RESPONSE,2026-06-03T16:38:27
KTAKEDA5-3ZPVTQ_ktakeda5,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
KURADA-4_kurada,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,1,MIXED,2026-06-03T16:38:27
LAPTOP-CPPVM862_LL,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
LAPTOP-QQLCC3QB_jl240,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,0,AC_BOUND+SHALLOW_RANGE+LOW_CYCLING,2026-06-03T16:38:27
LAPTOP-SH0NRR9B_Mesery2,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,0,AC_BOUND+SHALLOW_RANGE+LOW_CYCLING,2026-06-03T16:38:27
LAPTOP-SJCL3CJL_scollins1,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,1,MIXED,2026-06-03T16:38:27
LAPTOP-STAV4QJC_PQM,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
LAPTOP-TH5V7J86_CQE_Test,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,1,MIXED,2026-06-03T16:38:27
LIUFENG7-26Y6JC_liufeng7,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
LIUHY24-X1C8_Miss_Ling,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
LIUHY24-X1EGEN4_liuhy24,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,0,AC_BOUND+SHALLOW_RANGE+LOW_CYCLING,2026-06-03T16:38:27
LWANG5-PW0A203M_lwang5,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,1,MIXED,2026-06-03T16:38:27
LXIAO1-PF3T9L7M_lxiao1,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
M-PA3_Atsus,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,1,MIXED,2026-06-03T16:38:27
MARUICHIT-CRC21_MARUICHIT,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
MATT-T16G1_lietzke,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,1,MIXED,2026-06-03T16:38:27
MBHAVSAR-3R8CWY_mbhavsar,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
MHAGI-PF3YCK6H_mhagi,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2,AC_BOUND+HIGH_OPP_NO_RESPONSE,2026-06-03T16:38:27
MNAKABAYASH-XPZ_mnakabayashi1,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
MNISHIO1-2DR71T_mnishio1,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
MNISHIO1-43AFSK_Debug,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
MNISHIO1-43AFSK_mnishio1,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
NORITY-PF3C8AE9_nority,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
PANTHER3_SVT,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
PF3KG4XY_TP-Telemetry,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,1,MIXED,2026-06-03T16:38:27
PF3MC0GA_TP-Telemetry,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,0,AC_BOUND+SHALLOW_RANGE+LOW_CYCLING,2026-06-03T16:38:27
PF3MDFJC_TP-Telemetry,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,1,MIXED,2026-06-03T16:38:27
PR2-SVT-M1_MARUICHIT,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,0,AC_BOUND+SHALLOW_RANGE+LOW_CYCLING,2026-06-03T16:38:27
RAY-X1-9_Ratan,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
ROROSAS-F4HH26Y_rorosas,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
RSEKINOXF43CNVB_rsekino,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
SDESCHENES-FH3M_sdeschenes,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
TAJISAKA-49SXPJ_tajisaka,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,1,MIXED,2026-06-03T16:38:27
TBERDAR-F4G0ASQ_tberdar,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,1,MIXED,2026-06-03T16:38:27
TK-THAMES2_takay,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
TM1SIT1XPF4LA6X_EEP,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
TMOCHIZUKI-FHMH_tmochizuki,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
TNAKAMURA8-CRZW_tnakamura8,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,1,MIXED,2026-06-03T16:38:27
TP-X1C-G11_emmet,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
WANGTC3-F4210KH_wangtc3,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
X1YADL_KMK,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,1,MIXED,2026-06-03T16:38:27
X9ALADDIN-NAITO_arima,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
YANAGISAWA51_yanagisawa,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,0,AC_BOUND+SHALLOW_RANGE+LOW_CYCLING,2026-06-03T16:38:27
YINGNIE-W01KL34_yingnie,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
YSUZUKI11-9S4B8_ysuzuki11,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
YTAGAMI-F3TQANR_ytagami,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
